"Frequency","Monetary.mean","Recency"
7,615.714285714286,2
4,449.31,75
1,1757.55,18
1,334.4,310
11,140.491818181818,36
1,89,204
1,1079.4,232
1,459.4,214
3,937.143333333333,22
1,6207.67,33
2,584.03,1
6,1040.92166666667,7
3,887.353333333333,52
1,189.9,287
13,396.506153846154,3
2,276,109
4,328.275,7
3,106.896666666667,291
1,168.9,4
4,886.4225,51
2,943.98,44
3,432.68,71
1,364.6,311
1,742.93,25
3,151.806666666667,2
2,814.06,315
1,4008.62,129
3,283.43,81
5,544.112,21
6,300.66,4
6,306.551666666667,184
3,188.72,28
2,200.95,337
6,463.443333333333,15
1,549.84,79
1,460.89,21
4,395.65,72
2,636.24,63
15,199.885333333333,15
2,1204.95,35
1,1635.66,45
4,277.1625,119
1,84.3,303
1,225.6,323
2,204.85,49
1,1710.39,148
3,1093.58333333333,22
5,341.624,49
9,315.841111111111,32
7,1579.56142857143,78
3,227.026666666667,301
3,408.96,74
5,138.83,66
3,187.47,217
12,298.233333333333,3
1,668.58,112
1,600.39,63
5,161.254,15
3,267.853333333333,95
9,205.456666666667,0
2,880.48,162
1,777.2,78
1,582.73,194
5,141.674,11
12,656.433333333333,25
4,937.6,9
1,256.4,43
18,356.466111111111,35
5,1011.864,42
7,1910.83857142857,0
4,191.2975,84
2,3914.945,79
1,509.01,99
19,257.718947368421,1
2,1453.425,14
1,173.55,366
1,172.06,3
5,1001.092,21
1,133.4,22
1,1002.31,57
1,476.49,243
1,449.45,44
4,1016.8225,22
2,98.94,156
6,1488.92,10
3,142.856666666667,16
1,707.09,134
6,411.143333333333,73
4,788.4725,44
12,159.815,58
2,473.7,71
2,413.44,94
4,281.0025,2
7,186.232857142857,46
8,151.50625,10
3,244.63,7
3,241.346666666667,143
13,479.190769230769,30
9,316.47,29
30,237.215666666667,17
1,723.38,53
20,327.329,1
9,1457.44555555556,22
1,680.99,3
3,159.1,3
4,820.4075,28
11,508.26,22
13,179.01,17
8,561.90875,32
3,432.886666666667,9
1,334.93,336
10,541.793,5
1,460.4,38
2,131.605,63
3,138.93,165
13,87.6423076923077,9
1,1043.1,81
3,134.566666666667,21
13,323.559230769231,23
2,1044.84,315
5,744.774,95
4,28.5,18
1,73.5,232
4,314.515,134
2,199.135,26
1,176.5,284
2,491.285,142
2,69.015,66
2,293.395,84
1,1017.68,267
1,383.7,353
2,656.03,77
6,410.815,28
5,411.378,0
1,340.84,63
6,430.418333333333,79
1,599.68,142
2,96.36,39
13,134.274615384615,1
8,560.715,9
3,438.886666666667,0
3,116.236666666667,81
8,240.285,9
5,324.726,59
1,125.22,14
1,349.83,30
1,1089.18,130
2,358.175,91
5,821.364,7
1,363.95,29
5,770.5,22
19,700.475789473684,19
3,327.06,29
2,177.85,29
2,500.195,75
3,380.5,46
2,103.9,197
1,95.2,166
1,964.83,79
1,168,357
2,218.91,38
14,260.875,8
2,301.855,50
5,2398.192,16
3,178.736666666667,310
4,525.3475,5
1,238.85,302
7,540.248571428571,8
1,456.9,261
2,65.585,281
2,173.35,72
11,828.630909090909,22
35,116.142571428571,2
2,259.805,39
3,334.906666666667,8
1,160.54,227
1,218.45,315
6,217.83,35
4,148.85,35
4,688.34,21
3,136.906666666667,73
1,415.7,246
1,197.71,39
2,255.68,238
18,399.296666666667,2
18,105.219444444444,3
4,495.7025,234
2,89.97,17
1,144,7
1,214.9,39
2,323.34,28
3,3287.12666666667,190
1,452.85,317
2,218.8,92
3,139.366666666667,108
11,301.838181818182,37
2,309.135,51
5,736.626,19
9,333.631111111111,9
7,147.511428571429,29
11,234.64,28
6,94.9266666666667,189
1,153.12,58
1,739.2,21
2,127.09,79
3,375.616666666667,78
7,293.998571428571,22
1,1193.32,52
2,321.795,57
6,536.496666666667,31
1,315.6,277
4,572.7975,2
5,131.45,85
1,355.53,29
1,177.31,21
13,247.293076923077,16
3,446.47,14
23,591.829130434783,1
1,180.1,232
1,305.1,276
2,320.565,106
3,871.44,211
13,491.411538461538,23
7,639.79,10
4,192.4025,4
2,635.44,9
1,640.5,57
5,428.126,58
2,844.59,89
10,595.325,67
1,671.69,33
1,486.1,238
3,391.526666666667,23
1,185.9,115
3,337.753333333333,25
6,557.44,128
1,477.91,129
5,351.076,33
2,673.485,4
13,282.301538461538,22
1,318.05,154
4,150.9275,107
1,314.44,3
1,114,334
2,457.265,322
2,1104.925,148
5,120.396,10
8,497.84,17
5,230.412,11
1,686.05,18
1,91.68,29
1,245.1,11
12,318.09,0
10,486.388,8
2,30.875,324
1,620.13,58
6,623.863333333333,7
4,401.9325,150
6,497.691666666667,10
1,225.9,329
2,305.26,5
7,274.187142857143,11
6,221.898333333333,24
13,1352.94307692308,42
9,117.63,52
4,215.7025,0
27,506.577407407407,14
31,396.394193548387,3
20,411.0545,4
7,326.232857142857,7
6,477.18,28
1,89.14,371
1,4873.81,113
2,623.805,25
1,389.01,205
6,172.633333333333,28
6,138.493333333333,120
2,434.835,70
4,145.525,7
5,187.804,21
6,811.331666666667,7
2,398.855,79
1,219,19
2,137.35,64
10,222.084,7
14,486.731428571429,15
1,603.42,291
16,163.52,29
26,357.465384615385,3
4,282.6425,96
17,249.507647058824,22
1,848.55,0
5,941.772,9
1,353.86,106
2,526.745,3
3,326.993333333333,151
1,238.25,71
3,202.7,5
29,197.009655172414,2
7,375.568571428571,31
6,150.721666666667,85
5,145.014,3
4,257.8525,5
1,427.8,371
7,372.728571428571,28
9,438.633333333333,10
4,209.0825,71
1,453.01,113
1,236.26,179
1,383.95,234
1,110.4,352
2,389.785,315
1,234,332
1,155.35,372
2,506.52,78
1,427.6,63
2,273.215,134
10,912.039,51
11,381.455454545455,2
8,483.525,3
1,275.88,128
1,4366.78,81
5,589.824,235
4,550.8,249
1,112.08,86
19,222.51052631579,15
2,1395.795,116
3,510.48,52
2,949.26,7
2,247.04,138
1,1693.88,316
7,998.518571428571,3
1,1143.6,238
1,1351.45,210
1,892.47,59
6,225.206666666667,17
7,114.89,19
12,322.391666666667,21
5,141.544,21
6,378.886666666667,4
8,200.48375,2
2,287.21,9
2,152.855,2
3,154.553333333333,9
1,91.85,65
1,324.92,192
1,192.6,373
1,400.54,256
2,272.74,334
2,430.205,53
1,430.48,18
3,64.7266666666667,360
3,2325.68,10
2,206.29,183
3,161.216666666667,36
2,242.18,168
3,171.616666666667,260
1,229.64,44
1,125.92,101
2,531.73,147
2,286.1,95
1,166.04,281
2,758.94,178
4,235.585,3
1,92.72,214
3,306.326666666667,70
5,351.9,74
1,397.12,59
8,183.515,2
3,143.383333333333,5
6,169.785,2
3,84.35,322
7,964.057142857143,37
1,215.05,262
2,191.515,32
1,417.38,145
1,312.38,282
4,653.215,59
1,134.1,173
2,341.565,33
16,348.97625,2
6,452.378333333333,143
26,149.092307692308,4
2,559.495,70
9,186.751111111111,65
2,162.98,29
4,88.5225,267
1,871.54,22
2,525.445,31
1,135.18,96
2,149.875,290
9,209.077777777778,107
5,257.83,78
1,38.1,372
8,270.335,7
2,553.2,210
2,252.1,52
1,147.12,138
3,516.023333333333,26
1,559.12,283
10,398.622,26
6,267.843333333333,185
2,190.32,84
2,299.985,326
1,374,282
2,171.615,143
2,1109.01,57
12,127.980833333333,3
3,280.546666666667,18
4,138.1425,44
1,298,275
2,731.52,9
4,175.8675,24
1,309.05,88
4,289.5675,63
3,450.363333333333,67
4,78.4425,214
1,380.47,24
3,110.333333333333,185
1,188.14,30
3,115.766666666667,42
2,108.25,204
36,452.586111111111,8
1,138.68,264
2,254.79,18
5,583.962,11
4,61.5,58
8,266.10375,39
8,384.38,23
5,332.46,2
5,496.726,4
2,181.825,148
5,596.47,138
1,594,128
8,162.68,8
1,164.23,17
50,327.7948,3
1,405.38,161
1,176.97,64
5,185.99,88
2,347.025,4
5,412.54,35
2,52.55,122
4,102.475,78
4,151.57,24
8,269.55625,2
5,202.58,17
4,376.0675,15
1,114.14,25
8,1447.725,64
4,219.0725,46
3,227.966666666667,131
2,302.255,35
1,462.95,288
11,127.935454545455,143
8,256.7125,16
10,414.302,30
3,614.333333333333,2
8,130.25875,8
5,276.568,5
1,329.85,9
14,338.161428571429,1
1,108.07,306
12,331.586666666667,4
2,133.195,7
9,204.558888888889,8
1,771.91,89
1,160.18,9
4,298.6875,3
1,135.95,112
4,113.06,7
89,122.81191011236,3
1,144.8,197
1,738.6,211
1,39.24,156
12,591.005,155
2,186.11,29
2,188.6,239
1,97.5,18
3,405.206666666667,0
3,181.666666666667,73
1,535.32,292
19,360.763684210526,3
3,136.5,31
2,251.88,23
4,103.69,23
5,180.444,4
2,100.36,77
7,171.134285714286,22
3,151.96,196
3,178.283333333333,106
15,653.194666666667,4
1,120.95,318
3,49.6833333333333,105
22,255.155909090909,11
3,156.316666666667,173
1,81.57,56
2,89.235,323
1,50.55,372
11,119.238181818182,9
15,319.132666666667,1
16,210.339375,2
5,669.256,53
3,263.296666666667,73
1,204,7
29,250.784482758621,16
12,215.366666666667,4
2,344.95,64
8,117.01875,1
6,1152,113
3,219.893333333333,22
3,415.833333333333,30
2,399.74,11
3,332.173333333333,38
1,190.55,357
2,321.385,54
3,295.543333333333,57
3,293.69,138
3,302.82,80
2,338.495,8
2,235.785,253
1,560.47,291
1,305.28,99
2,314.655,30
18,171.061111111111,31
5,361.182,14
2,328.34,64
28,203.021785714286,9
1,348.15,212
4,300.49,64
3,90.4666666666667,24
1,183.4,249
1,307.53,253
1,248.61,72
1,346.98,191
4,279.8725,12
1,205.86,373
3,143.633333333333,24
1,115.46,82
2,172,10
27,137.697037037037,0
1,228.8,192
1,177.15,266
1,919.61,129
4,182.3175,1
43,289.122790697674,1
5,44.02,4
1,58.08,179
10,359.548,126
2,151.875,4
3,90.7933333333334,157
18,482.743888888889,8
2,159.91,21
6,76.6383333333333,70
13,595.497692307692,267
16,106.80375,21
1,74.4,70
14,420.951428571429,32
1,207.36,99
1,101.19,234
27,234.677407407407,1
1,243.94,39
6,183.08,3
2,29.75,128
5,304.814,44
1,350.06,372
5,153.368,2
8,181.60875,31
40,262.75,0
14,157.545,8
2,242.595,117
8,123.11375,21
7,160.714285714286,19
1,30.6,238
2,127.365,269
2,461.195,94
3,1288.77666666667,89
10,205.629,4
1,259.17,77
1,64,94
4,259.825,23
1,77.3,261
2,54.9,273
7,248.661428571429,72
1,3096,196
11,231.398181818182,50
9,400.564444444444,10
6,160.398333333333,22
8,631.97375,16
3,141.24,108
6,397.633333333333,84
1,307.09,19
1,110.95,332
5,122.954,39
1,228.91,26
4,178.2,10
17,196.969411764706,29
4,419.015,14
2,625.185,203
1,486.22,5
4,242.94,33
5,344.314,49
4,300.265,94
5,275.95,8
1,91.8,22
1,112.75,313
5,328.998,122
2,510.74,46
2,207.35,282
4,197.8325,18
5,262.028,36
2,356.44,63
1,116.01,26
5,85.362,8
2,176.825,4
3,939.01,16
1,492.84,46
1,282.45,64
11,520.497272727273,26
1,121.18,45
9,439.753333333333,7
12,137.399166666667,14
1,71.4,267
5,307.938,39
1,236.02,337
1,114.6,11
2,130.34,18
2,455.97,95
1,117.88,61
1,60.7,135
4,449.445,11
8,423.01125,10
39,251.38358974359,3
4,217.5225,19
4,217.365,9
2,125.13,15
7,172.271428571429,58
11,529.105454545455,30
1,353.48,93
3,399.14,10
4,195.145,9
6,253.071666666667,56
1,333.74,267
5,26.724,122
1,62.64,127
4,204.8225,78
2,423.705,240
2,81.6,200
3,716.95,60
8,760.38,3
1,108.21,273
1,257.7,201
1,358,81
1,160.95,225
15,184.227333333333,4
7,193.942857142857,12
2,302.56,74
2,50.585,211
3,242.423333333333,24
5,136.166,11
1,329.56,261
4,165.9125,96
3,90.1333333333333,112
1,600.07,203
1,121.74,92
1,430.5,50
7,274.585714285714,18
4,125.28,17
2,232.84,124
3,237.136666666667,92
2,515.2,156
3,130.22,3
3,232.86,11
1,292.32,61
1,557.62,61
2,472.05,268
1,200.29,263
35,212.973428571429,1
5,421.532,53
19,195.666842105263,11
27,163.127407407407,2
15,211.176,17
17,312.701176470588,1
1,590,366
2,89.13,37
2,138.28,31
1,138.98,113
2,295.465,63
4,64.6,15
1,542.73,40
2,63.15,64
3,271.62,122
6,174.64,18
2,46.83,59
2,98.075,322
4,677.28,23
1,361.11,155
2,289.47,38
2,436.87,189
2,98.975,359
1,87.4,137
4,522.4625,7
1,360,1
1,142.5,268
2,182.645,164
4,154.5225,103
1,63.75,155
1,300.42,351
10,200.086,4
1,15,120
4,341.9025,22
5,291.358,7
6,180.605,8
2,299.285,4
5,311.064,22
4,144.665,1
5,1163.098,37
9,237.785555555556,64
3,213.586666666667,1
36,296.231666666667,5
6,248.616666666667,70
2,283.68,72
1,199.48,17
5,157.57,3
12,589.4,32
1,675.3,81
9,401.952222222222,38
1,1308.48,316
4,185.1,31
3,380.31,92
1,350.9,14
3,1178.94,82
1,795.12,77
3,143.94,154
1,860.12,200
7,1533.78285714286,45
1,775.85,260
2,151.965,172
3,847.906666666667,67
2,188.8,276
1,341.36,70
1,233.76,64
1,247.32,10
3,303.573333333333,16
1,373.94,66
2,194.64,7
1,743.53,71
1,674.7,122
1,768.24,80
1,609.95,257
1,439.03,268
2,215.63,59
5,617.098,3
2,496.25,17
3,730.406666666667,8
1,56.16,50
2,311.7,256
2,131.875,354
2,360.66,366
1,378.64,89
3,1104.08333333333,60
2,386.45,81
3,339.92,99
3,190.853333333333,26
7,518.115714285714,21
1,222.99,280
9,458.031111111111,30
1,534.57,329
3,209.05,121
3,265.986666666667,11
1,544.08,74
1,59.8,203
10,231.28,1
1,307.72,185
4,331.3225,21
6,256.53,72
1,457.34,192
2,310.615,127
1,75,17
2,126.245,1
3,190.817,74
7,141.272857142857,8
1,213.55,107
3,463.5,133
2,356.25,43
2,320.415,4
23,254.149565217391,11
1,221.06,63
4,35.0875,134
3,616.326666666667,40
2,1300.775,51
3,541.403333333333,108
12,295.891666666667,0
3,194.2,19
1,218.47,10
4,251.7,10
4,162.1725,18
2,634.55,67
2,267.12,74
9,421.61,5
1,196.89,1
7,486.865714285714,14
1,283.71,255
1,296.64,91
4,276.0575,23
10,346.567,16
1,291.88,23
6,340.62,26
6,486.075,26
2,295,259
2,178.49,165
4,251.8375,24
7,248.26,17
22,433.541818181818,7
2,91.72,29
3,481.666666666667,38
2,71.625,183
1,674.68,58
2,148.975,100
2,541.855,10
41,137.969512195122,1
2,82.5,99
4,632.895,1
3,139.18,60
1,229.59,236
4,357.945,191
4,273.1925,178
8,180.19125,37
3,97,198
8,222.10125,45
1,184.64,232
1,140.34,65
1,313.8,241
1,454.24,233
3,374.136666666667,78
3,191.8,57
17,524.153529411765,17
4,112.38,105
10,121.582,51
3,423.28,136
2,309.315,275
1,316.26,311
6,331.686666666667,7
3,205.976666666667,10
3,107.016666666667,282
7,163.851428571429,17
4,284.1925,23
2,655.235,242
3,97.3333333333333,16
1,216.85,71
1,295.93,64
8,535.36,67
3,150.94,312
4,619.79,3
1,110.97,243
7,139.96,8
5,357.032,1
1,251.21,260
1,205.1,126
1,152.2,73
4,222.78,72
3,463.136666666667,21
5,421.814,59
1,659.44,85
2,55.4,50
8,435.96875,58
3,364.55,1
1,125.8,30
6,625.896666666667,33
5,136.036,40
2,314.39,14
8,282.97,33
2,153.88,78
2,241.9,205
1,210.31,33
3,90.2633333333333,182
43,130.536744186047,2
7,492.612857142857,1
7,182.978571428571,43
4,151.46,85
2,145.705,39
3,208.996666666667,12
2,341.205,96
8,114.515,25
1,91.8,319
16,221.220625,66
4,1037.32,73
2,292.03,28
4,151.265,5
1,174.37,7
1,141.86,215
3,599.776666666667,81
2,388.765,84
5,129.548,144
2,120.11,19
2,437.355,40
1,192.85,173
2,186.875,17
1,239.49,243
12,174.36,12
1,1384.25,205
2,147.2,50
5,146.414,23
20,335.165,10
5,331.66,25
2,233.52,14
1,118,309
1,781.03,155
1,142.4,306
3,115.666666666667,31
13,188.086153846154,15
2,189.825,14
7,282.302857142857,11
3,372.376666666667,64
4,61.99,35
6,331.713333333333,108
1,396.97,52
2,348.52,5
2,83.71,47
33,152.442424242424,1
1,219.52,312
2,346.66,45
1,428.89,64
1,164.34,26
3,93.5133333333333,29
1,678.01,40
9,123.936666666667,12
4,289.55,89
4,402.615,24
2,199.995,312
3,181.393333333333,40
1,177.34,173
1,213.85,116
7,96.0628571428571,30
1,257.23,252
7,232.002857142857,59
11,708.396363636364,23
11,181.425454545455,5
12,251.814166666667,99
6,352.836666666667,24
5,315.032,33
1,1071.03,67
6,156.936666666667,36
3,270.166666666667,52
1,122.64,15
1,1033.34,74
1,354.8,215
3,173.146666666667,31
5,519.504,8
1,252.1,120
5,334.044,9
2,173.3,256
7,258.477142857143,16
2,47.1,35
3,365.026666666667,45
6,451.221666666667,43
2,466.485,114
2,189.825,164
2,191.07,10
7,345.924285714286,9
3,516.95,197
7,125.582857142857,85
1,189.47,179
3,28.2166666666667,60
1,305.02,149
29,214.34724137931,2
2,109.275,50
1,349.7,75
2,198.46,18
2,243.41,151
1,232.6,151
5,440.462,1
4,206.9575,17
1,59.5,187
2,32.115,285
7,445.634285714286,2
1,72,182
1,910,63
1,172.25,59
5,293.374,24
15,166.942,31
1,151.3,38
1,308.58,155
10,226.512,26
1,99.5,318
10,229.531,5
3,237.286666666667,7
1,330.79,302
2,403.205,267
1,296.88,271
17,367.594705882353,3
1,180.48,31
2,126.03,218
1,228.84,246
8,131.7425,281
1,138.28,269
7,204.608571428571,32
2,153.275,246
5,208.336,15
4,199.975,116
1,524.14,36
4,592.29,120
1,199.85,217
11,164.528181818182,49
2,539.83,38
2,166.74,28
6,169.356666666667,36
2,376.3,135
2,305.295,219
1,491.86,28
8,345.7725,24
3,241.333333333333,5
1,339.6,200
1,216.9,18
1,350.75,240
4,166.5825,71
14,221.601428571429,16
8,167.51875,2
2,578.18,95
2,145.77,151
1,79.6,373
5,189.65,95
5,329.452,53
1,296.25,288
6,197.713333333333,124
1,741.26,287
2,141.3,151
10,215.468,3
15,343.008,2
7,455.792857142857,11
2,329.705,33
2,143.395,54
2,535.325,50
3,563.153333333333,63
3,507.253333333333,70
52,325.879038461538,2
16,173.241875,2
5,526.34,64
3,377.376666666667,33
1,345,81
1,178.7,103
2,180.005,7
1,127.84,250
6,152,12
11,223.89,9
1,230.4,367
2,154.52,75
1,348.8,4
3,349.226666666667,43
2,97.775,66
2,344.43,116
1,558.32,309
1,324.8,66
6,651.045,138
1,277.07,255
7,376.541428571429,30
2,462.3,52
1,256.38,63
1,112.6,367
5,349.532,5
1,155.05,305
4,224.8775,28
4,147.9375,183
3,179.666666666667,42
5,270.682,39
3,520.706666666667,56
5,802.982,22
4,138.76,23
2,191.49,29
3,380.116666666667,301
2,192.82,144
2,316,5
2,478.83,18
5,339.788,32
2,87.325,158
3,137.35,57
1,209.49,22
6,367.165,16
2,20.475,17
1,384.8,159
4,208.6425,25
2,135.62,211
4,172.9325,5
1,85,252
9,376.18,58
1,361.62,11
1,312.98,64
4,211.9025,24
3,418.333333333333,92
2,768.975,51
2,793.405,88
3,883.82,95
2,528.47,8
29,276.724827586207,8
5,72.68,168
1,216.17,57
1,201.16,326
6,206.666666666667,1
10,218.731,18
2,149.78,245
4,125.39,58
1,145.67,74
3,338.43,31
2,1596.27,7
4,776.2375,123
10,275.125,2
14,456.414285714286,22
4,95.425,119
1,540.45,358
5,357.358,53
1,122.7,63
1,117.24,86
1,1281.53,54
13,247.674615384615,21
22,772.250909090909,3
6,188.546666666667,2
9,282.083333333333,1
6,130.216666666667,7
2,253.4,189
1,243.56,71
1,349.55,204
2,302.815,119
1,416.9,92
14,132.918571428571,1
4,158.2425,26
1,821.1,297
5,107.194,22
5,517.624,21
1,311.16,50
1,155.93,325
2,194.26,16
3,246.983333333333,183
5,573.44,72
2,166.32,37
5,469.41,79
9,286.767777777778,57
3,204.65,3
2,136.02,49
2,606.42,49
3,116.72,53
1,172.25,351
1,351.13,53
11,152.916363636364,1
6,102.775,36
1,223.85,23
1,348.99,74
4,116.1425,10
3,267.616666666667,169
2,168.67,57
3,410.31,85
1,307.4,294
2,304.395,109
1,922.1,263
2,180.64,171
1,158.85,169
1,71.66,35
4,139.1875,23
4,209.785,17
7,701.772857142857,21
3,187.19,79
1,90.6,65
1,102,360
6,404.553333333333,2
5,145.712,11
3,224.816666666667,176
3,1082.03033333333,211
7,502.24,7
3,126.196666666667,1
2,161.48,154
5,205.284,5
3,199.4,79
2,115.11,21
2,84.775,21
4,166.135,308
1,80.7,145
20,449.3345,7
11,245.656363636364,8
2,95.125,70
1,264.7,287
1,413.59,49
7,357.604285714286,31
1,357.98,206
2,98.395,14
1,869.87,73
1,200.14,60
5,372.222,39
13,199.266153846154,29
6,81.3383333333333,26
16,439.033125,4
1,320.46,17
9,455.422222222222,19
2,633.04,65
1,311.3,213
7,121.518571428571,12
1,76.8,30
12,284.138333333333,32
6,385.523333333333,3
6,230.581666666667,15
15,257.684,10
2,316.855,206
4,507.5825,45
2,264.865,134
7,654.662857142857,43
5,574.944,9
3,320.73,115
3,228.643333333333,198
1,328.8,277
3,157.673333333333,110
1,505.18,77
1,917.34,52
5,865.692,154
4,349.74,46
2,321.4,16
3,210.633333333333,155
1,440,225
2,292.035,7
2,163.85,121
1,104.82,60
2,233.83,63
8,295.01125,18
23,636.288695652174,7
18,162.768888888889,2
4,128.005,22
5,285.604,28
1,626.65,284
2,73.6,176
4,388.62,78
1,152.2,33
15,236.146,40
1,141.41,266
4,163.205,26
4,414.9375,109
1,154.99,284
7,184.287142857143,8
2,187.565,277
6,939.858333333333,16
2,373.18,31
26,595.282307692308,0
1,225.36,19
2,130.125,124
1,92.46,65
1,725.64,106
29,280.151724137931,1
18,341.522222222222,23
1,183.6,266
20,306.769,4
12,872.070833333333,9
7,169.76,29
1,152.55,266
2,187.35,63
1,265.85,320
9,145.267777777778,3
2,69.77,21
3,314.086666666667,4
1,122.47,129
5,99.884,40
6,174.895,101
1,375.1,124
1,45.6,32
4,226.1675,267
1,182.25,364
9,113.158888888889,4
19,233.462631578947,2
2,90.835,2
1,161,56
1,76.32,324
17,239.005882352941,7
1,442.85,12
1,147.35,36
12,257.7475,16
1,194.9,137
6,996.131666666667,73
8,164.34125,5
2,108.105,154
2,630.165,85
8,336.06,51
3,198.053333333333,30
2,40.1,23
13,436.126923076923,3
5,137.72,14
12,231.180833333333,22
8,172.24,3
2,193.265,273
5,276.548,19
1,90,143
6,456.716666666667,3
1,419.58,84
3,913.476666666667,10
4,160.9075,7
3,236.57,122
2,318.75,60
5,224.772,1
1,483.86,319
12,298.344166666667,2
5,118.068,129
15,312.687333333333,1
2,491.19,1
1,415.82,46
3,306.683333333333,3
6,146.505,2
1,311.81,373
1,115.8,133
5,629.64,46
6,491.595,8
3,156.133333333333,49
1,157.2,233
3,86.4766666666667,212
2,329.32,35
3,203.696666666667,75
2,672.81,239
1,118.75,266
3,133.476666666667,19
1,507.66,40
14,334.164285714286,19
3,370.173333333333,215
2,144.68,173
4,611.4775,87
2,815.885,70
1,122.54,275
4,143.71,39
1,363.79,98
4,112.71,10
1,134.46,33
7,444.008571428571,51
5,114.8,297
5,110.892,84
7,231.561428571429,8
2,359.89,40
31,149.702258064516,10
1,452.89,66
1,197.65,331
10,201.891,8
24,191.84625,2
14,332.857857142857,1
2,426.695,67
32,350.5234375,4
3,320.9,201
1,335.52,106
7,94.7857142857143,4
1,185.4,218
9,76.4488888888889,60
1,161.03,2
4,54.695,10
2,154.13,239
1,151.74,94
7,295.304285714286,10
7,271.555714285714,91
13,169.869230769231,53
1,1070.48,89
7,142.89,30
7,253.988571428571,11
4,459.825,3
24,80.2233333333333,1
1,169.48,42
1,89.94,4
2,316.2,247
10,342.785,42
1,683.17,177
4,243.8075,92
4,262.53,110
7,314.52,28
15,221.047333333333,26
5,290.12,51
5,164.412,179
8,255.49125,31
5,289.502,43
4,193.865,22
6,515.643333333333,10
2,245.43,80
1,161,373
1,146.85,326
13,178.730769230769,43
2,445.17,30
1,213.7,183
2,140.275,234
14,181.134285714286,8
5,335.496,176
3,491.353333333333,110
1,136.77,278
1,302.58,318
3,634.683333333333,7
5,575.94,1
3,311.686666666667,254
6,514.545,51
10,1265.008,9
1,120,141
2,581.725,50
8,327.27875,8
3,106.49,154
2,265.09,109
7,182.727142857143,150
1,492.65,331
1,112.32,225
2,218.98,73
4,139.9925,51
5,203.878,88
4,989.25,15
1,134.04,196
15,248.622666666667,3
3,192.816666666667,30
4,477.5025,21
5,919.162,23
4,37.8075,8
2,206.925,212
6,151.876666666667,8
6,384.575,11
12,322.775,1
14,344.237857142857,7
4,261.64,3
2,77.35,40
6,214.01,17
18,158.630555555556,8
1,43.2,18
2,316.02,107
2,98.55,222
